usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
68496;1430;2013-01-02 08:37:19.64;7;PLAZA ROMA;2013-01-02 08:44:53.343;36;EMMA DE LA BARRA;8
52981;1011;2013-01-02 08:37:20.78;27;INDEPENDENCIA;2013-01-02 08:52:43.78;28;PLAZA SAN MARTIN;15
34596;958;2013-01-02 08:37:30.967;3;RETIRO;2013-01-02 08:56:14.763;9;PARQUE LEZAMA;19
20706;893;2013-01-02 08:37:41.733;8;PLAZA ITALIA;2013-01-02 09:18:47.233;22;VIRREY CEVALLOS;41
63268;1109;2013-01-02 08:37:44.217;6;DERECHO;2013-01-02 08:47:22.077;3;RETIRO;10
23909;1615;2013-01-02 08:37:50.03;8;PLAZA ITALIA;2013-01-02 09:04:01.92;7;PLAZA ROMA;26
25496;732;2013-01-02 08:37:57.763;33;ARENALES;2013-01-02 08:45:39.84;34;SUIPACHA;8
31845;78;2013-01-02 08:38:02.513;33;ARENALES;2013-01-02 08:46:09.857;34;SUIPACHA;8
28692;1403;2013-01-02 08:38:06.78;6;DERECHO;2013-01-02 09:06:02.67;10;OBELISCO;28
52313;859;2013-01-02 08:38:09.107;5;ADUANA;2013-01-02 08:49:14.233;36;EMMA DE LA BARRA;11
526;1132;2013-01-02 08:38:22.793;3;RETIRO;2013-01-02 08:51:50.687;5;ADUANA;13
18244;1600;2013-01-02 08:38:29.187;28;PLAZA SAN MARTIN;2013-01-02 08:49:10.59;10;OBELISCO;11
55604;903;2013-01-02 08:38:36.327;3;RETIRO;2013-01-02 09:02:13.7;10;OBELISCO;24
42468;1082;2013-01-02 08:38:44.013;15;CONGRESO;2013-01-02 08:53:12.28;5;ADUANA;14
65989;1221;2013-01-02 08:39:06.263;5;ADUANA;2013-01-02 08:46:44.343;17;UCA PUERTO MADERO;8
62635;1148;2013-01-02 08:39:09.53;19;PLAZA VICENTE LOPEZ;2013-01-02 09:00:49.983;35;ALSINA ;22
44079;1009;2013-01-02 08:39:23.217;5;ADUANA;2013-01-02 08:52:21.577;18;TRIBUNALES;13
39952;880;2013-01-02 08:39:37.327;7;PLAZA ROMA;2013-01-02 09:05:50.187;16;PARQUE LAS HERAS;26
40813;1356;2013-01-02 08:39:51.327;3;RETIRO;2013-01-02 08:49:37.687;24;PLAZA DE MAYO;10
65848;1632;2013-01-02 08:40:00.06;25;PLAZA ALMAGRO;2013-01-02 08:55:05.25;15;CONGRESO;15
58618;1057;2013-01-02 08:40:28.857;21;PACIFICO;2013-01-02 09:08:07.92;3;RETIRO;28
65220;1364;2013-01-02 08:41:07.653;25;PLAZA ALMAGRO;2013-01-02 08:55:55.747;23;PLAZA HOUSSAY;15
4803;582;2013-01-02 08:41:07.717;22;VIRREY CEVALLOS;2013-01-02 08:54:27.14;24;PLAZA DE MAYO;13
45135;592;2013-01-02 08:41:36.373;15;CONGRESO;2013-01-02 08:52:33.17;27;INDEPENDENCIA;11
44906;246;2013-01-02 08:41:58.437;27;INDEPENDENCIA;2013-01-02 09:04:12.983;10;OBELISCO;22
70939;967;2013-01-02 08:42:34.047;36;EMMA DE LA BARRA;2013-01-02 09:00:16.233;34;SUIPACHA;18
49728;1195;2013-01-02 08:42:42.89;15;CONGRESO;2013-01-02 08:43:33.873;15;CONGRESO;1
49909;722;2013-01-02 08:42:47.78;19;PLAZA VICENTE LOPEZ;2013-01-02 08:54:19.873;16;PARQUE LAS HERAS;12
36022;1524;2013-01-02 08:42:50.937;32;PARQUE PATRICIOS ;2013-01-02 09:47:13.607;3;RETIRO;64
71885;210;2013-01-02 08:43:34.233;6;DERECHO;2013-01-02 08:55:11.733;3;RETIRO;12
48206;994;2013-01-02 08:43:35.747;3;RETIRO;2013-01-02 08:54:42.577;18;TRIBUNALES;11
28547;1045;2013-01-02 08:43:39.873;17;UCA PUERTO MADERO;2013-01-02 08:52:55.937;24;PLAZA DE MAYO;9
33977;1075;2013-01-02 08:44:04.53;24;PLAZA DE MAYO;2013-01-02 08:52:45.45;7;PLAZA ROMA;9
4051;915;2013-01-02 08:44:09.64;25;PLAZA ALMAGRO;2013-01-02 09:08:39.217;28;PLAZA SAN MARTIN;24
40686;870;2013-01-02 08:44:09.653;6;DERECHO;2013-01-02 09:11:15.153;17;UCA PUERTO MADERO;27
69911;931;2013-01-02 08:44:10.34;3;RETIRO;2013-01-02 08:55:38.733;36;EMMA DE LA BARRA;11
65826;1424;2013-01-02 08:44:14.577;25;PLAZA ALMAGRO;2013-01-02 09:35:11.013;7;PLAZA ROMA;51
40285;1247;2013-01-02 08:44:23.623;22;VIRREY CEVALLOS;2013-01-02 08:55:36.653;35;ALSINA ;11
49728;845;2013-01-02 08:44:40.327;15;CONGRESO;2013-01-02 08:59:22.14;20;ONCE;15
20231;1072;2013-01-02 08:44:42.077;10;OBELISCO;2013-01-02 09:17:13.513;19;PLAZA VICENTE LOPEZ;33
58774;1584;2013-01-02 08:45:12.903;9;PARQUE LEZAMA;2013-01-02 08:59:38.687;7;PLAZA ROMA;14
59101;1200;2013-01-02 08:45:20.403;15;CONGRESO;2013-01-02 08:56:55.297;17;UCA PUERTO MADERO;12
52013;1146;2013-01-02 08:45:21.7;17;UCA PUERTO MADERO;2013-01-02 09:49:52.483;17;UCA PUERTO MADERO;65
67473;1430;2013-01-02 08:45:30.373;36;EMMA DE LA BARRA;2013-01-02 08:52:23.7;7;PLAZA ROMA;7
52014;1362;2013-01-02 08:45:42.53;17;UCA PUERTO MADERO;2013-01-02 09:49:47.467;17;UCA PUERTO MADERO;64
23692;609;2013-01-02 08:45:52.153;25;PLAZA ALMAGRO;2013-01-02 09:11:13.31;15;CONGRESO;25
69788;511;2013-01-02 08:46:08.95;5;ADUANA;2013-01-02 09:35:41.17;27;INDEPENDENCIA;50
51628;1262;2013-01-02 08:46:10.56;18;TRIBUNALES;2013-01-02 08:58:31.67;36;EMMA DE LA BARRA;12
43269;985;2013-01-02 08:46:30.53;22;VIRREY CEVALLOS;2013-01-02 08:53:16.437;15;CONGRESO;7
43965;1194;2013-01-02 08:46:57.123;3;RETIRO;2013-01-02 08:58:29.123;7;PLAZA ROMA;12
71404;1507;2013-01-02 08:47:00.14;7;PLAZA ROMA;2013-01-02 09:05:34.187;9;PARQUE LEZAMA;19
35365;1622;2013-01-02 08:47:10.28;5;ADUANA;2013-01-02 09:04:30.793;23;PLAZA HOUSSAY;17
6388;1465;2013-01-02 08:47:25.2;8;PLAZA ITALIA;2013-01-02 09:09:54.937;7;PLAZA ROMA;22
